time	V(vout)	I(L1)
2.002867316245617e-05	1.811111e+00	2.087945e+00
2.003021435213295e-05	1.811313e+00	2.088286e+00
2.003182862773088e-05	1.811524e+00	2.088643e+00
2.003415845196397e-05	1.811829e+00	2.089159e+00
2.003670631928767e-05	1.812162e+00	2.089724e+00
2.004086880243483e-05	1.812707e+00	2.090646e+00
2.004486517940748e-05	1.813231e+00	2.091531e+00
2.005285793335278e-05	1.814279e+00	2.093302e+00
2.006206571333363e-05	1.815488e+00	2.095342e+00
2.008048127329536e-05	1.817909e+00	2.099421e+00
2.010598466739128e-05	1.821271e+00	2.105070e+00
2.015699145558313e-05	1.828031e+00	2.116364e+00
2.025900503196683e-05	1.841690e+00	2.138937e+00
2.046303218473423e-05	1.869557e+00	2.184031e+00
2.087108649026903e-05	1.927484e+00	2.273991e+00
2.168719510133863e-05	2.050251e+00	2.453157e+00
2.268719510133863e-05	2.211842e+00	2.671395e+00
2.368719510133863e-05	2.384257e+00	2.888304e+00
2.402000000000000e-05	2.444663e+00	2.960097e+00
2.435439020267725e-05	2.507256e+00	3.031975e+00
2.436439020267725e-05	2.509152e+00	3.034121e+00
2.438439020267725e-05	2.512969e+00	3.038410e+00
2.442439020267724e-05	2.520625e+00	3.046984e+00
2.450439020267723e-05	2.536017e+00	3.064120e+00
2.466439020267720e-05	2.566970e+00	3.098369e+00
2.470000000000006e-05	2.573900e+00	3.105985e+00
2.477121959464579e-05	2.587850e+00	3.121204e+00
2.487756081070854e-05	2.608757e+00	3.143917e+00
2.490756081070854e-05	2.614687e+00	3.150320e+00
2.494756081070853e-05	2.622613e+00	3.158854e+00
2.495756081070853e-05	2.624598e+00	3.160987e+00
2.497756081070853e-05	2.628572e+00	3.165252e+00
2.498487837858298e-05	2.630027e+00	3.166812e+00
2.499463513574893e-05	2.631969e+00	3.168893e+00
2.500504289199550e-05	2.634041e+00	3.171112e+00
2.501000000000001e-05	2.635029e+00	3.172168e+00
2.501008578399098e-05	2.635046e+00	3.172187e+00
2.501025735197294e-05	2.635080e+00	3.172224e+00
2.501060048793685e-05	2.635149e+00	3.172297e+00
2.501116040575227e-05	2.635260e+00	3.172416e+00
2.501228024138310e-05	2.635483e+00	3.172655e+00
2.501451991264477e-05	2.635930e+00	3.173132e+00
2.501552065747667e-05	2.636129e+00	3.173346e+00
2.501752214714047e-05	2.636528e+00	3.173772e+00
2.502000000000000e-05	2.637022e+00	3.174300e+00
2.502024778528596e-05	2.637072e+00	3.174353e+00
2.502074335585786e-05	2.637171e+00	3.174459e+00
2.502173449700168e-05	2.637368e+00	3.174670e+00
2.502371677928930e-05	2.637764e+00	3.175093e+00
2.502603543542475e-05	2.638226e+00	3.175587e+00
2.502794247653679e-05	2.638607e+00	3.175993e+00
2.502843607416835e-05	2.638705e+00	3.176099e+00
2.502901280473688e-05	2.638820e+00	3.176221e+00
2.503000000000001e-05	2.639017e+00	3.176431e+00
2.503009871952632e-05	2.639037e+00	3.176452e+00
2.503029615857894e-05	2.639076e+00	3.176494e+00
2.503069103668419e-05	2.639155e+00	3.176578e+00
2.503113892393587e-05	2.639244e+00	3.176673e+00
2.503155161421101e-05	2.639327e+00	3.176760e+00
2.503197203559355e-05	2.639410e+00	3.176847e+00
2.503247465390451e-05	2.639511e+00	3.176949e+00
2.503303373326731e-05	2.639622e+00	3.177058e+00
2.503398870078820e-05	2.639813e+00	3.177238e+00
2.503503530755500e-05	2.640022e+00	3.177420e+00
2.503598519096967e-05	2.640212e+00	3.177561e+00
2.503697399736575e-05	2.640409e+00	3.177666e+00
2.503756786968198e-05	2.640527e+00	3.177699e+00
2.503805712199649e-05	2.640625e+00	3.177701e+00
2.503828291764072e-05	2.640670e+00	3.177695e+00
2.503849670402824e-05	2.640713e+00	3.177685e+00
2.503870238483187e-05	2.640754e+00	3.177675e+00
2.503892820328069e-05	2.640799e+00	3.177664e+00
2.503929993029528e-05	2.640873e+00	3.177644e+00
2.504004338432446e-05	2.641022e+00	3.177606e+00
2.504153029238283e-05	2.641319e+00	3.177527e+00
2.504297936412698e-05	2.641608e+00	3.177451e+00
2.504427517608201e-05	2.641866e+00	3.177382e+00
2.504568123777595e-05	2.642147e+00	3.177307e+00
2.504703793512746e-05	2.642418e+00	3.177234e+00
2.504845275447602e-05	2.642700e+00	3.177159e+00
2.504981842422852e-05	2.642973e+00	3.177085e+00
2.505121128006649e-05	2.643251e+00	3.177011e+00
2.505259608266476e-05	2.643527e+00	3.176936e+00
2.505421329520227e-05	2.643850e+00	3.176849e+00
2.505608628750095e-05	2.644223e+00	3.176749e+00
2.505847358876922e-05	2.644700e+00	3.176620e+00
2.506163940757869e-05	2.645332e+00	3.176450e+00
2.506601408961158e-05	2.646204e+00	3.176214e+00
2.507329397542161e-05	2.647656e+00	3.175822e+00
2.508623209093611e-05	2.650237e+00	3.175123e+00
2.510688488460189e-05	2.654354e+00	3.174006e+00
2.512923164273780e-05	2.658806e+00	3.172797e+00
2.516041348946189e-05	2.665015e+00	3.171108e+00
2.520120684380431e-05	2.673130e+00	3.168895e+00
2.527564057565177e-05	2.687913e+00	3.164850e+00
2.541091063447498e-05	2.714699e+00	3.157467e+00
2.822253098741421e-05	3.251958e+00	2.997304e+00
2.901000000000001e-05	3.396903e+00	2.950636e+00
2.904000000000001e-05	3.402339e+00	2.948831e+00
2.916000000000001e-05	3.423990e+00	2.941584e+00
2.965000000000001e-05	3.511744e+00	2.911801e+00
2.999999999999998e-05	3.573695e+00	2.890315e+00
3.001000000000001e-05	3.575457e+00	2.889699e+00
3.001004400237351e-05	3.575464e+00	2.889696e+00
3.001013200712051e-05	3.575480e+00	2.889690e+00
3.001023945785962e-05	3.575499e+00	2.889684e+00
3.001034333465534e-05	3.575517e+00	2.889677e+00
3.001055108824678e-05	3.575554e+00	2.889664e+00
3.001096659542967e-05	3.575627e+00	2.889639e+00
3.001165582492730e-05	3.575748e+00	2.889596e+00
3.001262887289406e-05	3.575920e+00	2.889536e+00
3.001400725113626e-05	3.576162e+00	2.889450e+00
3.001589855142583e-05	3.576495e+00	2.889335e+00
3.001730682954096e-05	3.576743e+00	2.889265e+00
3.001844472471669e-05	3.576944e+00	2.889236e+00
3.001891673010346e-05	3.577027e+00	2.889241e+00
3.001905598922647e-05	3.577051e+00	2.889246e+00
3.001944296350795e-05	3.577119e+00	2.889270e+00
3.001965987557884e-05	3.577158e+00	2.889289e+00
3.002000000000001e-05	3.577218e+00	2.889322e+00
3.002010203732636e-05	3.577235e+00	2.889334e+00
3.002023808709483e-05	3.577259e+00	2.889350e+00
3.002051018663176e-05	3.577307e+00	2.889385e+00
3.002062486551449e-05	3.577327e+00	2.889400e+00
3.002066098460739e-05	3.577334e+00	2.889406e+00
3.002068222040275e-05	3.577338e+00	2.889409e+00
